炉号,钢种,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C, 连铸正样Mn ,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样Nb_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,连铸正样Ti_val,连铸正样N_val,连铸正样O_val,连铸正样B_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),钒铁(FeV50-B),钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂
7A06878             ,低合金    ,HRB400B    ,1644,0.00065,0.0011,0.0003,0.00014,0.004,74400,0.0023,0.0133,0.0003,0.00019,0.0033,0.466,0.0027,0.008,0.021,0,0.033,0.0052,0.0029,0.0026,0,0,0,0,0,0,10,0,0,32,25,0,0,0,0,0,85,1547,0,88,0
7A06877             ,低合金    ,HRB400B    ,1543,0.00077,0.0011,0.00039,0.00021,0.004,74200,0.0023,0.0137,0.0003,0.00027,0.0038,0.474,0.0033,0.009,0.024,0,0.031,0.0082,0.0058,0.0029,0,0,0,0,0,0,4,0,0,40,25,0,0,0,0,0,68,1530,0,132,0
7A06876             ,低合金    ,HRB400B    ,1684,0.00035,0.0011,0.00024,0.0002,0.004,78250,0.0023,0.013,0.00027,0.00021,0.0035,0.463,0.0034,0.009,0.02,0,0.034,0.0052,0.0029,0.0028,0,0,0,0,0,0,4,0,0,40,75,0,0,0,0,0,90,0,1450,132,0
7A06875             ,低合金    ,HRB400B    ,1674,0.00048,0.0012,0.00036,0.0003,0.004,73600,0.0022,0.0131,0.00038,0.00026,0.0037,0.454,0.0033,0.009,0.023,0,0.033,0.0045,0.0023,0.004,0,0,0,0,0,0,4,0,0,40,50,0,0,0,0,0,85,0,1450,132,0
7A06874             ,低合金    ,HRB400B    ,1800,0.00036,0.0009,0.00028,0.00025,0.004,72400,0.0024,0.0133,0.00027,0.00025,0.0038,0.478,0.0037,0.01,0.019,0,0.034,0.0048,0.0026,0.0033,0,0,0,0,0,0,4,0,0,40,75,0,0,0,0,0,90,0,1450,132,0
7A06873             ,低合金    ,HRB400B    ,1660,0.00022,0.0007,0.00038,0.00014,0.004,70350,0.0023,0.0132,0.00035,0.00017,0.0037,0.465,0.0027,0.009,0.023,0,0.033,0.0041,0.0019,0.0034,0,0,0,0,0,0,4,0,0,40,75,0,0,0,0,0,90,0,1450,132,0
7A06872             ,低合金    ,HRB400B    ,1654,0.0007,0.0012,0.0002,0.00013,0.004,77800,0.0023,0.0128,0.00035,0.00028,0.0034,0.458,0.003,0.008,0.02,0,0.032,0.0038,0.0016,0.0019,0,0,0,0,0,0,5,0,0,41,50,0,0,0,0,0,58,0,1500,132,0
7A06871             ,低合金    ,HRB400B    ,1666,0.00063,0.0014,0.00025,0.00031,0.004,73050,0.0024,0.0134,0.00028,0.00026,0.0038,0.478,0.003,0.009,0.02,0,0.032,0.0044,0.0022,0.0029,0,0,0,0,0,0,4,0,0,40,50,0,0,0,0,0,80,0,1450,132,0
7A06870             ,低合金    ,HRB400B    ,1666,0.00106,0.0009,0.00022,0.00012,0.004,74300,0.0022,0.0135,0.00031,0.00028,0.0038,0.46,0.003,0.008,0.02,0,0.034,0.0068,0.0044,0.0034,0,0,0,0,0,0,5,0,0,40,25,0,0,0,0,0,58,0,1580,132,0
7A06869             ,低合金    ,HRB400B    ,1658,0.00043,0.0011,0.00028,0.00021,0.004,74850,0.0024,0.0132,0.00028,0.00022,0.0036,0.474,0.0025,0.008,0.018,0,0.033,0.005,0.0027,0.0022,0,0,0,0,0,0,5,0,0,41,75,0,0,220,0,0,85,0,1330,132,0
